ID,special_ed_indicator,lep_First Year of Monitoring,lep_LEP,lep_Other 0n-LEP Student,lep_Second Year of Monitoring,ethnicity_Asian,ethnicity_Black/African American,ethnicity_Hispanic,percent_score_p,percent_score_m1,percent_score_m2,percent_score_f
0,1,0,1,0,0,0,0,1,0.33,0.47,0.42,0.53
1,0,0,0,1,0,0,1,0,0.64,0.5,0.74,0.74
2,0,0,0,1,0,0,0,1,0.78,0.55,0.66,0.82
3,0,0,0,1,0,0,1,0,0.61,0.58,0.66,0.61
4,0,0,0,1,0,0,1,0,0.22,0.29,0.45,0.5
5,0,0,1,0,0,1,0,0,0.47,0.5,0.61,0.45
6,0,0,0,0,1,1,0,0,0.92,0.84,1,0.95
7,0,0,1,0,0,0,0,1,0.64,0.71,0.55,0.79
8,1,0,0,1,0,0,1,0,0.22,0.16,0.29,0.21
9,0,0,0,1,0,0,1,0,0.78,0.77,0.76,0.82
10,0,0,1,0,0,0,0,1,0.33,0.47,0.55,0.66
11,0,0,0,1,0,0,0,1,0.67,0.71,0.82,0.74
12,0,0,0,1,0,0,1,0,0.78,0.63,0.71,0.89
13,0,0,0,1,0,0,1,0,0.89,0.74,0.71,0.84
14,0,0,1,0,0,0,0,1,0.56,0.39,0.21,0.47
15,0,0,0,0,1,0,0,1,0.94,0.95,0.87,0.95
16,0,0,0,1,0,0,1,0,0.61,0.68,0.84,0.74
17,0,0,0,1,0,1,0,0,0.89,0.97,0.97,0.95
18,0,0,0,0,1,0,0,1,0.64,0.53,0.63,0.79
19,0,0,1,0,0,0,0,1,0.89,0.89,0.82,0.95
20,0,0,0,1,0,0,0,1,0.83,0.82,0.84,0.97
21,0,0,1,0,0,0,0,1,0.72,0.32,0.53,0.42
22,0,0,0,1,0,0,1,0,0.56,0.74,0.66,0.71
23,1,0,0,1,0,0,1,0,0.72,0.71,0.87,0.74
24,0,0,1,0,0,0,0,1,0.36,0.37,0.53,0.63
25,1,0,1,0,0,0,0,1,0.61,0.24,0.37,0.24
26,0,0,1,0,0,0,0,1,0.5,0.46,0.42,0.58
27,0,0,0,0,1,0,0,1,0.31,0.53,0.47,0.61
28,0,0,0,1,0,0,0,1,0.72,0.5,0.76,0.76
29,0,0,0,0,1,1,0,0,0.72,0.95,0.82,0.84
30,0,0,0,0,1,1,0,0,0.86,0.76,0.71,0.76
31,0,0,0,1,0,1,0,0,0.89,0.97,1,1
32,0,0,0,0,1,1,0,0,0.69,0.82,0.95,0.84
33,0,0,1,0,0,0,0,1,0.36,0.53,0.37,0.53
34,1,0,1,0,0,0,0,1,0.36,0.18,0.26,0.32
35,0,0,0,1,0,0,0,1,0.83,0.68,0.82,0.87
36,0,0,1,0,0,0,0,1,0.25,0.32,0.34,0.39
37,0,0,0,1,0,0,1,0,0.67,0.84,0.63,0.82
38,0,0,0,1,0,0,0,1,0.89,0.76,0.87,0.92
39,0,0,1,0,0,0,0,1,0.28,0.53,0.45,0.5
40,0,0,0,1,0,0,0,1,0.89,0.92,0.95,0.79
41,0,0,0,1,0,0,1,0,0.5,0.71,0.58,0.79
42,0,0,0,1,0,0,1,0,0.78,0.84,0.79,0.87
43,0,0,0,1,0,0,0,1,0.81,0.68,0.76,0.76
44,0,0,1,0,0,0,0,1,0.64,0.37,0.47,0.71
45,0,0,1,0,0,0,0,1,0.36,0.42,0.68,0.58
46,0,0,1,0,0,0,0,1,0.47,0.45,0.37,0.55
47,0,0,1,0,0,0,0,1,0.86,0.74,0.79,0.92
48,0,0,0,1,0,0,0,1,0.61,0.53,0.58,0.63
49,0,0,1,0,0,0,0,1,0.33,0.45,0.29,0.63
50,0,0,0,1,0,0,0,1,0.67,0.71,0.76,0.71
51,0,0,1,0,0,0,0,1,0.58,0.37,0.5,0.45
52,0,0,0,1,0,1,0,0,0.78,0.68,0.82,0.87
53,0,0,0,0,1,1,0,0,0.78,0.89,0.87,0.89
54,0,0,1,0,0,1,0,0,0.03,0.37,0.68,0.61
55,0,0,1,0,0,1,0,0,0.78,0.66,0.71,0.74
56,0,0,0,1,0,0,0,1,0.75,0.76,0.76,0.82
57,0,0,1,0,0,0,0,1,0.44,0.55,0.42,0.68
58,0,0,0,0,1,0,0,1,0.56,0.55,0.37,0.55
59,0,0,0,1,0,0,0,1,0.92,1,0.89,0.95
60,0,0,0,1,0,0,0,1,0.69,0.82,0.95,0.89
61,0,0,1,0,0,0,0,1,0.44,0.29,0.37,0.47
62,0,0,0,1,0,0,1,0,0.72,0.74,0.82,0.84
63,0,0,0,1,0,0,0,1,0.61,0.68,0.55,0.74
64,0,0,1,0,0,0,0,1,0.42,0.58,0.42,0.55
65,0,0,1,0,0,0,0,1,0.56,0.58,0.84,0.71
66,0,0,0,1,0,0,1,0,0.44,0.29,0.39,0.58
67,0,0,0,0,1,0,0,1,0.81,0.74,0.87,0.82
68,0,0,0,1,0,0,0,1,0.72,0.76,0.84,0.87
69,0,0,0,1,0,0,0,1,0.61,0.58,0.61,0.79
70,0,0,0,0,1,0,0,1,0.67,0.63,0.5,0.74
71,0,0,0,1,0,0,1,0,0.72,0.66,0.79,0.82
72,0,0,0,1,0,0,1,0,0.61,0.55,0.63,0.79
73,1,0,0,1,0,0,0,1,0.47,0.45,0.45,0.66
74,0,0,0,0,1,1,0,0,0.89,0.79,1,0.82
75,0,0,0,1,0,0,1,0,0.67,0.84,0.84,0.87
76,0,0,0,1,0,0,1,0,0.67,0.5,0.58,0.68
77,1,0,1,0,0,0,0,1,0.47,0.47,0.53,0.58
78,0,0,0,1,0,0,1,0,0.37,0.24,0.5,0.5
79,0,0,0,1,0,0,1,0,0.805,0.74,0.87,0.71
80,1,0,0,1,0,0,1,0,0.235,0.26,0.21,0.18
81,0,0,0,0,1,0,0,1,0.675,0.61,0.74,0.89
82,0,0,0,1,0,0,1,0,0.515,0.42,0.61,0.45
83,0,0,0,0,1,0,0,1,0.645,0.63,0.66,0.74
84,0,0,0,0,1,0,0,1,0.62,0.61,0.63,0.63
85,0,0,0,0,1,0,0,1,0.63,0.5,0.76,0.84
86,0,0,1,0,0,0,0,1,0.49,0.53,0.45,0.47
87,0,0,0,1,0,0,1,0,0.405,0.39,0.42,0.55
88,0,0,0,0,1,0,0,1,0.79,0.76,0.82,0.79
89,0,0,0,1,0,0,0,1,0.84,0.84,0.84,0.92
90,0,0,0,1,0,0,1,0,0.265,0.21,0.32,0.26
91,1,0,0,1,0,0,1,0,0.46,0.34,0.58,0.66
92,0,0,0,0,1,0,0,1,0.555,0.58,0.53,0.53
93,0,0,0,1,0,0,1,0,0.58,0.61,0.55,0.63
94,0,1,0,0,0,0,0,1,0.895,0.87,0.92,0.76
95,0,0,0,1,0,0,1,0,0.72,0.68,0.76,0.82
96,0,0,1,0,0,0,0,1,0.67,0.68,0.66,0.71
97,0,0,1,0,0,0,0,1,0.33,0.32,0.34,0.66
98,0,0,0,1,0,0,1,0,0.71,0.79,0.63,0.87
99,1,0,0,1,0,0,1,0,0.24,0.24,0.24,0.21
