LocalId,Grade,Ethnicity,ECD,LEP,SpEd,"Fall 2017 Math BM
MA.04.005.E
PcntScore
12/13/2017",Spring 2018 Released STAAR BM  3/29/2018,"Spring 2018 STAAR
MA04
PcntScore
5/2018","Fall 2018 Math BM
MA.05.018.E
PcntScore
12/21/2018",Spring 2019 Released STAAR BM  2/11/2019,"Spring 2019 STAAR
MA05
PcntScore
5/2019 or 6/2019"
3701,7,H,1,0,0,41.16129032258065,39.6,68.0,43.0,46.45454545454545,58.0
4054,7,W,1,0,0,41.16129032258065,39.6,59.0,43.0,46.45454545454545,58.0
1085,7,B,1,0,0,24.0,6.0,41.0,22.0,25.0,33.0
9988,7,H,1,0,0,29.0,35.0,62.0,63.0,64.0,69.0
3201,7,B,1,0,0,44.0,29.0,41.0,7.0,36.0,64.0
2510,7,B,1,0,0,68.0,74.0,56.0,59.0,83.0,78.0
3759,7,H,1,0,0,41.16129032258065,39.6,76.0,43.0,46.45454545454545,69.0
3031,7,B,1,0,0,29.0,26.0,50.0,37.0,36.0,47.0
1093,7,B,1,0,0,56.0,47.0,35.0,48.0,47.0,69.0
2680,7,H,1,1,1,29.0,24.0,32.0,30.0,25.0,36.0
9786,7,B,1,0,1,41.16129032258065,39.6,95.0,43.0,46.45454545454545,93.0
1077,7,B,1,0,1,29.0,26.0,35.0,44.0,31.0,28.0
2560,7,H,1,4,0,41.16129032258065,39.6,74.0,52.0,56.0,75.0
1095,7,B,1,0,0,47.0,21.0,47.0,37.0,42.0,56.0
9993,7,H,1,0,0,47.0,44.0,56.0,52.0,61.0,67.0
3316,7,H,1,0,0,35.0,26.0,26.0,43.0,33.0,44.0
3890,7,B,1,0,0,41.16129032258065,39.6,59.0,43.0,46.45454545454545,83.0
10039,7,H,1,0,0,68.0,79.0,79.0,70.0,83.0,86.0
1076,7,B,1,0,0,79.0,74.0,71.0,63.0,56.0,72.0
10042,7,B,1,0,0,26.0,39.6,26.0,15.0,28.0,22.0
9995,7,B,1,0,1,41.16129032258065,39.6,100.0,43.0,46.45454545454545,95.0
1009,7,B,1,0,1,18.0,39.6,32.0,43.0,46.45454545454545,53.0
2631,7,B,1,0,0,24.0,26.0,26.0,33.0,44.0,56.0
2630,7,B,1,0,0,21.0,53.0,41.0,30.0,44.0,42.0
1091,7,B,1,0,0,62.0,68.0,91.0,43.0,46.45454545454545,78.0
3895,7,H,1,4,0,41.16129032258065,39.6,71.0,43.0,46.45454545454545,53.0
3943,7,H,1,0,0,41.16129032258065,39.6,88.0,43.0,46.45454545454545,81.0
10008,7,B,1,0,0,44.0,35.0,29.0,37.0,44.0,53.0
1218,7,W,1,0,0,32.0,29.0,29.0,33.0,44.0,75.0
1099,7,B,1,0,0,35.0,21.0,47.0,59.0,56.0,64.0
9831,7,H,1,1,1,26.0,18.0,15.0,19.0,28.0,33.0
2668,7,H,1,1,0,50.0,41.0,74.0,67.0,67.0,81.0
1045,7,H,1,0,0,26.0,32.0,26.0,22.0,25.0,28.0
3145,7,H,1,1,0,44.0,39.6,53.0,48.0,58.0,58.0
3177,7,H,1,0,0,50.0,38.0,62.0,48.0,61.0,75.0
10043,7,B,1,0,0,41.16129032258065,26.0,38.0,26.0,22.0,36.0
10028,7,B,1,0,0,41.16129032258065,35.0,47.0,56.0,58.0,75.0
3820,7,B,1,0,1,41.16129032258065,39.6,41.0,43.0,46.45454545454545,22.0
10012,7,B,1,0,0,82.0,91.0,79.0,78.0,75.0,78.0
10030,7,H,1,0,1,47.0,47.0,26.0,48.0,28.0,31.0
9701,7,B,1,0,1,29.0,38.0,21.0,30.0,17.0,17.0
1133,7,B,1,0,1,41.16129032258065,39.6,90.0,43.0,46.45454545454545,95.0
9824,7,B,1,0,0,41.16129032258065,39.6,35.0,43.0,50.0,69.0
10014,7,B,1,0,0,29.0,32.0,41.0,41.0,39.0,53.0
9992,7,H,1,0,0,47.0,47.0,65.0,59.0,67.0,67.0
