Grade_Subject,Did Not Meet,Approaches,Meets
reading_3,50.00000,70.58820,82.35290
math_3,46.87500,71.87500,84.37500
reading_4,52.77780,72.22220,83.33330
math_4,47.05880,67.64710,79.41180
writing_4,53.12500,68.75000,81.25000
reading_5,52.63160,73.68420,81.57890
math_5,44.44440,66.66670,80.55560
science_5,55.55560,75.00000,86.11110
reading_6,55.00000,75.00000,85.00000
math_6,36.84210,57.89470,76.31580
reading_7,54.76190,73.80950,83.33330
math_7,37.50000,60.00000,77.50000
writing_7,52.17390,67.39130,80.43480
reading_8,54.54550,72.72730,84.09090
math_8,42.85710,61.90480,83.33330
science_8,50.00000,66.66670,78.57140
socialstudies_8,47.72730,68.18180,79.54550
